VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2021-01-01 00:49:22,2021-01-01 00:52:05,3,.65,1,N,74,42,2,4.5,0.5,0.5,0,0,0.3,5.8,0
1,2021-01-01 00:26:30,2021-01-01 00:36:09,0,3.30,1,N,237,24,1,11,3,0.5,4.4,0,0.3,19.2,2.5
1,2021-01-01 00:40:02,2021-01-01 00:50:22,1,2.00,1,N,166,74,2,9.5,0.5,0.5,0,0,0.3,10.8,0
2,2021-01-01 00:03:59,2021-01-01 00:11:50,1,1.44,1,N,43,262,1,7.5,0.5,0.5,4,0,0.3,15.3,2.5
2,2021-01-01 00:12:34,2021-01-01 00:20:30,3,1.43,1,N,164,107,1,7.5,0.5,0.5,2.26,0,0.3,13.56,2.5
2,2021-01-01 00:24:10,2021-01-01 00:38:46,5,3.97,1,N,107,142,1,14,0.5,0.5,3.56,0,0.3,21.36,2.5
2,2021-01-01 00:46:05,2021-01-01 01:00:04,3,2.99,1,N,163,24,1,12.5,0.5,0.5,3.26,0,0.3,19.56,2.5
2,2021-01-01 00:08:07,2021-01-01 00:27:30,1,5.95,1,N,226,151,1,20,0.5,0.5,3,0,0.3,26.8,2.5
2,2021-01-01 00:37:15,2021-01-01 00:44:52,1,1.25,1,N,238,238,1,7,0.5,0.5,5,0,0.3,15.8,2.5
2,2021-01-01 00:47:09,2021-01-01 00:50:14,1,.59,1,N,238,239,1,4.5,0.5,0.5,2.49,0,0.3,10.79,2.5
2,2021-01-01 00:47:00,2021-01-01 00:51:23,1,.85,1,N,236,236,1,5,0.5,0.5,1.32,0,0.3,10.12,2.5
1,2021-01-01 00:06:23,2021-01-01 00:19:09,1,3.40,1,N,164,231,2,12.5,3,0.5,0,0,0.3,16.3,2.5
2,2021-01-01 00:41:55,2021-01-01 00:58:35,1,2.87,1,N,230,143,1,13.5,0.5,0.5,4.33,0,0.3,21.63,2.5
2,2021-01-01 00:10:50,2021-01-01 00:15:36,1,1.36,1,N,237,263,1,6,0.5,0.5,3.7,0,0.3,13.5,2.5
2,2021-01-01 00:55:52,2021-01-01 01:17:52,1,5.01,1,N,230,226,2,18,0.5,0.5,0,0,0.3,21.8,2.5
1,2021-01-01 00:33:02,2021-01-01 00:46:51,1,6.20,1,N,247,254,2,19,0.5,0.5,0,0,0.3,20.3,0
2,2021-01-01 00:03:09,2021-01-01 00:46:03,1,19.51,2,N,132,48,2,52,0,0.5,0,0,0.3,55.3,2.5
2,2021-01-01 00:19:55,2021-01-01 00:33:23,1,2.63,1,N,68,4,1,11.5,0.5,0.5,2.7,0,0.3,18,2.5
2,2021-01-01 00:37:01,2021-01-01 00:46:41,1,2.26,1,N,4,90,2,10,0.5,0.5,0,0,0.3,13.8,2.5
2,2021-01-01 00:49:35,2021-01-01 00:58:23,1,1.66,1,N,90,48,1,8.5,0.5,0.5,3.08,0,0.3,15.38,2.5
2,2021-01-01 00:36:05,2021-01-01 00:42:37,3,2.04,1,N,170,141,1,8,0.5,0.5,1.77,0,0.3,13.57,2.5
2,2021-01-01 00:44:11,2021-01-01 00:50:08,1,.78,1,N,141,163,2,6,0.5,0.5,0,0,0.3,9.8,2.5
2,2021-01-01 00:59:47,2021-01-01 01:10:14,1,3.62,1,N,170,238,2,12,0.5,0.5,0,0,0.3,15.8,2.5
2,2021-01-01 00:17:54,2021-01-01 00:24:58,1,1.19,1,N,162,170,1,7,0.5,0.5,2.16,0,0.3,12.96,2.5
2,2021-01-01 00:31:07,2021-01-01 00:34:31,1,1.19,1,N,137,229,2,5,0.5,0.5,0,0,0.3,8.8,2.5
2,2021-01-01 00:45:25,2021-01-01 00:46:25,1,.35,1,N,233,137,1,3,0.5,0.5,0,0,0.3,6.8,2.5
2,2021-01-01 00:50:10,2021-01-01 01:01:36,1,1.81,1,N,137,68,2,9,0.5,0.5,0,0,0.3,12.8,2.5
1,2021-01-01 00:31:42,2021-01-01 00:38:22,2,2.20,1,N,151,143,1,8.5,3,0.5,2.45,0,0.3,14.75,2.5
1,2021-01-01 00:49:33,2021-01-01 00:56:05,1,1.60,1,N,238,41,1,7,3,0.5,2.15,0,0.3,12.95,2.5
2,2021-01-01 00:16:22,2021-01-01 00:31:26,6,8.00,1,N,138,236,1,23.5,0.5,0.5,6.68,6.12,0.3,40.1,2.5
1,2021-01-01 00:00:18,2021-01-01 00:07:17,2,.90,1,N,170,233,2,6,3.5,0.5,0,0,0.3,10.3,2.5
2,2021-01-01 00:49:17,2021-01-01 00:57:57,1,2.61,1,N,238,74,2,9.5,0.5,0.5,0,0,0.3,10.8,0
1,2021-01-01 00:38:51,2021-01-01 00:47:43,1,1.90,1,N,142,238,1,9,3,0.5,3.8,0,0.3,16.6,2.5
1,2021-01-01 00:54:39,2021-01-01 01:08:09,2,3.50,1,N,238,90,1,13.5,3,0.5,3.45,0,0.3,20.75,2.5
2,2021-01-01 00:33:43,2021-01-01 00:39:12,1,1.76,1,N,151,143,1,7,0.5,0.5,2.16,0,0.3,12.96,2.5
2,2021-01-01 00:03:40,2021-01-01 00:22:09,1,4.82,1,N,43,68,2,17,0.5,0.5,0,0,0.3,20.8,2.5
2,2021-01-01 00:15:25,2021-01-01 00:27:54,1,3.71,1,N,24,229,1,13,0.5,0.5,3,0,0.3,19.8,2.5
2,2021-01-01 00:46:02,2021-01-01 00:52:57,1,1.03,1,N,161,50,1,6.5,0.5,0.5,2.06,0,0.3,12.36,2.5
2,2021-01-01 00:38:51,2021-01-01 00:47:16,1,2.27,1,N,238,48,2,9,0.5,0.5,0,0,0.3,12.8,2.5
2,2021-01-01 00:52:58,2021-01-01 01:08:37,1,4.17,1,N,48,263,1,15,0.5,0.5,0,0,0.3,18.8,2.5
2,2021-01-01 00:10:47,2021-01-01 00:13:29,6,.91,1,N,100,90,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
2,2021-01-01 00:55:06,2021-01-01 01:12:02,6,3.63,1,N,164,148,1,14.5,0.5,0.5,10,0,0.3,28.3,2.5
1,2021-01-01 00:33:48,2021-01-01 00:42:46,2,4.10,1,N,137,75,2,13.5,3,0.5,0,0,0.3,17.3,2.5
2,2021-01-01 00:42:14,2021-01-01 00:44:33,2,.99,1,N,107,170,1,4.5,0.5,0.5,1.66,0,0.3,9.96,2.5
2,2021-01-01 00:53:39,2021-01-01 00:57:12,3,.94,1,N,107,113,1,5.5,0.5,0.5,2,0,0.3,11.3,2.5
1,2021-01-01 00:49:05,2021-01-01 01:11:20,1,6.00,1,N,260,260,2,21.5,0.5,0.5,0,0,0.3,22.8,0
